id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
1594,"The General's Daughter","The General's Daughter",en,"When the body of Army Capt. Elisabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.","[{""id"":53,""name"":""Thriller""},{""id"":9648,""name"":""Mystery""},{""id"":80,""name"":""Crime""}]",Released,20.493,,6.386,904,1999-06-18
1595,"Bicentennial Man","Bicentennial Man",en,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.","[{""id"":878,""name"":""Science Fiction""},{""id"":18,""name"":""Drama""}]",Released,21.592,,7.255,3593,1999-12-17
1596,Big,Big,en,"When a young boy makes a wish at a carnival machine to be big—he wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman.","[{""id"":14,""name"":""Fantasy""},{""id"":18,""name"":""Drama""},{""id"":35,""name"":""Comedy""},{""id"":10749,""name"":""Romance""},{""id"":10751,""name"":""Family""}]",Released,25.891,,7.173,3592,1988-06-03
1597,"A Nos Amours","À nos amours",fr,"Fifteen-year-old Suzanne seeks refuge from a disintegrating family in a series of impulsive, promiscuous affairs. Her fulsome sexuality further ratchets up the suppressed passions of her narcissistic brother, insecure mother and brooding, authoritarian father.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,12.063,,6.8,191,1983-11-16
1598,"Mr. Magorium's Wonder Emporium","Mr. Magorium's Wonder Emporium",en,"Molly Mahoney is the awkward and insecure manager of Mr. Magorium's Wonder Emporium—the strangest, most fantastic and most wonderful toy store in the world. After Mr. Magorium bequeaths the store to her, a dark and ominous change begins to take over the once-remarkable Emporium.","[{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""},{""id"":35,""name"":""Comedy""}]",Released,13.869,,6.233,1235,2007-11-14
1599,"A Love in Germany","Eine Liebe in Deutschland",de,"In May of 1983, a man turns 49 and, with his 17-year old son, journeys to the village in Baden that he left 40 years before. He wants to discover what happened then, the truth about an affair his mother had with a young Polish prisoner of war, how the authorities came to learn of it, the lovers' arrest, and the aftermath. While his son takes Polaroid photographs, he retraces the steps of his childhood and interviews those who should remember. The story is disclosed in flashbacks that focus on the lovers (Paulina and Stanislaus), on a jealous and conniving neighbor, and on Mayer, the local SS commander who wants to find a way out of inevitable consequences.","[{""id"":18,""name"":""Drama""}]",Released,2.205,,4.9,7,1983-10-26
1600,"Crusade in Jeans","Kruistocht in Spijkerbroek",nl,"Dolf a 15 year old boy is sent back in time by a timemachine. Accidentally he is sent back to the Middle Ages. He is rescued by children who are part of a childrens' crusade, on their way to rescue Jeruzalem. During the trip Dolf finds out the danger is not coming from outside the crusade, but from within.","[{""id"":12,""name"":""Adventure""},{""id"":14,""name"":""Fantasy""},{""id"":36,""name"":""History""}]",Released,9.318,,5.8,58,2006-11-15
1601,Rize,Rize,en,"A documentary film that highlights two street derived dance styles, Clowning and Krumping, that came out of the low income neighborhoods of L.A.. Director David LaChapelle interviews each dance crew about how their unique dances evolved. A new and positive activity away from the drugs, guns, and gangs that ruled their neighborhood. A raw film about a growing sub-culture movements in America.","[{""id"":99,""name"":""Documentary""}]",Released,5.692,,6.6,45,2005-01-15
1602,Closer,Closer,en,"A love story about chance meetings, instant attractions, and casual betrayals. Four strangers - with one thing in common: each other.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,16.028,,6.835,3383,2004-12-03
1603,"Cold Mountain","Cold Mountain",en,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.","[{""id"":18,""name"":""Drama""},{""id"":10752,""name"":""War""},{""id"":36,""name"":""History""},{""id"":12,""name"":""Adventure""},{""id"":10749,""name"":""Romance""}]",Released,19.264,,6.925,1752,2003-12-24
