id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
2,"Shadows in Paradise","Varjoja paratiisissa",fi,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,11.876,,7.3,395,1986-10-17
3,"Four Rooms","Four Rooms",en,"It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","[{""id"":35,""name"":""Comedy""}]",Released,19.585,,5.847,2626,1995-12-09
4,"Judgment Night","Judgment Night",en,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,11.699,,6.48,331,1993-10-15
5,"Life in Loops (A Megacities RMX)","Life in Loops (A Megacities RMX)",en,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006","[{""id"":99,""name"":""Documentary""}]",Released,3.141,,7.3,28,2006-01-01
6,"Sunday in August","Sonntag im August",de,,"[{""id"":18,""name"":""Drama""}]",Released,2.576,,7.1,27,2004-09-02
7,"Star Wars","Star Wars",en,"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""},{""id"":878,""name"":""Science Fiction""}]",Released,88.608,,8.204,20549,1977-05-25
8,"Finding Nemo","Finding Nemo",en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","[{""id"":16,""name"":""Animation""},{""id"":10751,""name"":""Family""}]",Released,101.453,,7.819,19187,2003-05-30
9,"Forrest Gump","Forrest Gump",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,107.33,,8.471,27410,1994-06-23
10,"American Beauty","American Beauty",en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","[{""id"":18,""name"":""Drama""}]",Released,36.689,,8.016,11989,1999-09-15
11,"Citizen Kane","Citizen Kane",en,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","[{""id"":9648,""name"":""Mystery""},{""id"":18,""name"":""Drama""}]",Released,28.225,,8,5489,1941-04-17
12,"Dancer in the Dark","Dancer in the Dark",en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.","[{""id"":18,""name"":""Drama""},{""id"":80,""name"":""Crime""}]",Released,22.061,,7.9,1778,2000-09-01
13,"The Dark","The Dark",en,"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.","[{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""},{""id"":9648,""name"":""Mystery""}]",Released,8.971,,5.742,267,2005-09-28
14,"The Fifth Element","The Fifth Element",en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.","[{""id"":878,""name"":""Science Fiction""},{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""}]",Released,52.994,,7.554,10662,1997-05-02
15,Metropolis,Metropolis,de,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.","[{""id"":18,""name"":""Drama""},{""id"":878,""name"":""Science Fiction""}]",Released,26.27,,8.12,2741,1927-02-06
16,"My Life Without Me","My Life Without Me",en,"A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,15.709,,6.012,460,2003-03-07
17,"The Endless Summer","The Endless Summer",en,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.","[{""id"":99,""name"":""Documentary""}]",Released,11.386,,7.2,115,1966-06-15
18,"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean: The Curse of the Black Pearl",en,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.","[{""id"":12,""name"":""Adventure""},{""id"":14,""name"":""Fantasy""},{""id"":28,""name"":""Action""}]",Released,140.118,,7.807,20563,2003-07-09
19,"Kill Bill: Vol. 1","Kill Bill: Vol. 1",en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""}]",Released,56.382,,7.971,17336,2003-10-10
20,Jarhead,Jarhead,en,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.","[{""id"":18,""name"":""Drama""},{""id"":10752,""name"":""War""}]",Released,22.444,,6.7,2852,2005-11-04
21,"Walk on Water","LaLehet Al HaMayim",he,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values.","[{""id"":18,""name"":""Drama""}]",Released,7.692,,6.9,85,2004-02-05
22,"9 Songs","9 Songs",en,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.","[{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""},{""id"":10749,""name"":""Romance""}]",Released,39.71,,5.598,510,2004-07-16
23,"Apocalypse Now","Apocalypse Now",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","[{""id"":18,""name"":""Drama""},{""id"":10752,""name"":""War""}]",Released,59.194,,8.277,8190,1979-08-15
24,Unforgiven,Unforgiven,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.","[{""id"":37,""name"":""Western""}]",Released,38.076,,7.914,4374,1992-08-07
25,"The Simpsons Movie","The Simpsons Movie",en,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","[{""id"":16,""name"":""Animation""},{""id"":35,""name"":""Comedy""},{""id"":10751,""name"":""Family""}]",Released,58.313,,7.012,7941,2007-07-25
26,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","[{""id"":878,""name"":""Science Fiction""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,97.93,,8.099,14893,2004-03-19
27,"Amores Perros","Amores perros",es,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.","[{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,25.964,,7.63,2581,2000-06-16
28,"Pirates of the Caribbean: Dead Man's Chest","Pirates of the Caribbean: Dead Man's Chest",en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.","[{""id"":12,""name"":""Adventure""},{""id"":14,""name"":""Fantasy""},{""id"":28,""name"":""Action""}]",Released,126.511,,7.365,15866,2006-07-06
29,"A History of Violence","A History of Violence",en,"An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.","[{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""},{""id"":80,""name"":""Crime""}]",Released,23.997,,7.176,3210,2005-09-23
30,"2001: A Space Odyssey","2001: A Space Odyssey",en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","[{""id"":878,""name"":""Science Fiction""},{""id"":9648,""name"":""Mystery""},{""id"":12,""name"":""Adventure""}]",Released,48.676,,8.1,11473,1968-04-02
31,"Twelve Monkeys","Twelve Monkeys",en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{""id"":878,""name"":""Science Fiction""},{""id"":53,""name"":""Thriller""},{""id"":9648,""name"":""Mystery""}]",Released,38.568,,7.6,8297,1995-12-29
32,"Talk to Her","Hable con ella",es,"Two men share an odd friendship while they care for two women who are both in deep comas.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,14.879,,7.585,1280,2002-03-15
33,"8 Mile","8 Mile",en,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.","[{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""}]",Released,38.842,,7.1,7215,2002-11-08
34,"Absolute Power","Absolute Power",en,"A master thief coincidentally is robbing a house where a murder—in which the President of the United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""},{""id"":28,""name"":""Action""}]",Released,19.251,,6.6,1080,1997-02-14
35,"Paradise Now","Paradise Now",en,"Two childhood friends are recruited for a suicide bombing in Tel Aviv.","[{""id"":53,""name"":""Thriller""},{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,9.05,,6.94,257,2005-09-07
36,Brazil,Brazil,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","[{""id"":35,""name"":""Comedy""},{""id"":878,""name"":""Science Fiction""}]",Released,23.427,,7.7,3272,1985-02-20
37,"Walk the Line","Walk the Line",en,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.","[{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""},{""id"":10749,""name"":""Romance""}]",Released,22.489,,7.5,2838,2005-09-13
38,"Million Dollar Baby","Million Dollar Baby",en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","[{""id"":18,""name"":""Drama""}]",Released,40.291,,7.956,9494,2004-12-15
39,"Billy Elliot","Billy Elliot",en,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.","[{""id"":18,""name"":""Drama""},{""id"":35,""name"":""Comedy""},{""id"":10402,""name"":""Music""}]",Released,19.455,,7.594,3804,2000-09-28
40,"American History X","American History X",en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","[{""id"":18,""name"":""Drama""}]",Released,35.766,,8.344,11509,1998-07-01
41,"War of the Worlds","War of the Worlds",en,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","[{""id"":12,""name"":""Adventure""},{""id"":53,""name"":""Thriller""},{""id"":878,""name"":""Science Fiction""}]",Released,41.789,,6.513,8318,2005-06-13
42,"Mars Attacks!","Mars Attacks!",en,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.","[{""id"":35,""name"":""Comedy""},{""id"":14,""name"":""Fantasy""},{""id"":878,""name"":""Science Fiction""}]",Released,23.467,,6.409,5371,1996-12-13
43,"Before Sunrise","Before Sunrise",en,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,31.698,,7.968,4105,1995-01-27
44,Memento,Memento,en,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","[{""id"":9648,""name"":""Mystery""},{""id"":53,""name"":""Thriller""}]",Released,57.152,,8.18,14802,2000-10-11
45,"Blade Runner","Blade Runner",en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","[{""id"":878,""name"":""Science Fiction""},{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,63.695,,7.9,13718,1982-06-25
46,Hero,英雄,zh,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.","[{""id"":18,""name"":""Drama""},{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""},{""id"":36,""name"":""History""}]",Released,20.696,,7.497,2234,2002-07-22
47,"Before Sunset","Before Sunset",en,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,25.024,,7.8,3356,2004-06-16
48,"Nausicaä of the Valley of the Wind",風の谷のナウシカ,ja,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.","[{""id"":12,""name"":""Adventure""},{""id"":16,""name"":""Animation""},{""id"":14,""name"":""Fantasy""}]",Released,37.154,,7.939,3551,1984-03-11
49,"Miami Vice","Miami Vice",en,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,18.187,,6.004,1758,2006-07-27
50,"Open Water","Open Water",en,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...","[{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""},{""id"":27,""name"":""Horror""}]",Released,12.466,,5.537,1047,2003-10-26
51,"Raiders of the Lost Ark","Raiders of the Lost Ark",en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""}]",Released,53.366,,7.9,12362,1981-06-12
52,"The Elementary Particles",Elementarteilchen,de,"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,12.224,,6.147,133,2006-02-10
53,"Indiana Jones and the Temple of Doom","Indiana Jones and the Temple of Doom",en,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""}]",Released,44.473,,7.3,9194,1984-05-23
54,"Dirty Dancing","Dirty Dancing",en,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.","[{""id"":18,""name"":""Drama""},{""id"":10402,""name"":""Music""},{""id"":10749,""name"":""Romance""}]",Released,35.573,,7.337,6083,1987-08-21
55,"Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade",en,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""}]",Released,84.2,,7.852,10059,1989-05-24
56,"Beverly Hills Cop","Beverly Hills Cop",en,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.","[{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""},{""id"":28,""name"":""Action""}]",Released,29.984,,7.197,4119,1984-12-05
57,"Land Without Bread","Las Hurdes",es,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)","[{""id"":99,""name"":""Documentary""}]",Released,10.612,,7.1,150,1933-12-01
58,Megacities,Megacities,en,"Megacities is a documentary about the slums of five different metropolitan cities.","[{""id"":99,""name"":""Documentary""}]",Released,2.134,,6.9,18,1998-08-12
59,"Anatomy of a Murder","Anatomy of a Murder",en,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""},{""id"":9648,""name"":""Mystery""}]",Released,14.877,,7.838,953,1959-07-01
60,Kunstgriff,Kunstgriff,de,"Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.","[{""id"":35,""name"":""Comedy""}]",Released,2.196,,7.5,4,2002-01-01
61,Armageddon,Armageddon,en,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.","[{""id"":28,""name"":""Action""},{""id"":53,""name"":""Thriller""},{""id"":878,""name"":""Science Fiction""},{""id"":12,""name"":""Adventure""}]",Released,40.636,,6.839,7870,1998-07-01
62,"Beverly Hills Cop II","Beverly Hills Cop II",en,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.","[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""}]",Released,25.126,,6.508,2508,1987-05-18
63,Tron,Tron,en,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.","[{""id"":878,""name"":""Science Fiction""},{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""}]",Released,23.347,,6.653,2268,1982-07-09
64,Gladiator,Gladiator,en,"In the year 180, the death of Emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals, as well as a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is sentenced to execution. He escapes but is captured by slave traders. Renamed ""Spaniard"" and forced to become a gladiator, Maximus must battle to the death against other men for the amusement of paying audiences.","[{""id"":28,""name"":""Action""},{""id"":18,""name"":""Drama""},{""id"":12,""name"":""Adventure""}]",Released,629.785,,8.2,18546,2000-05-04
65,"All About My Mother","Todo sobre mi madre",es,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""}]",Released,14.443,,7.646,1871,1999-04-16
66,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",en,"A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.","[{""id"":35,""name"":""Comedy""},{""id"":80,""name"":""Crime""}]",Released,13.702,,8.118,6543,1998-08-28
67,"Léon: The Professional","Léon: The Professional",en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""},{""id"":28,""name"":""Action""}]",Released,76.916,,8.3,14736,1994-09-14
68,"Open Hearts","Elsker dig for evigt",da,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.","[{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,8.706,,6.9,100,2002-09-06
69,"Taxi Driver","Taxi Driver",en,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.","[{""id"":80,""name"":""Crime""},{""id"":18,""name"":""Drama""}]",Released,56.746,,8.141,12204,1976-02-09
70,"Run Lola Run","Lola rennt",de,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.","[{""id"":28,""name"":""Action""},{""id"":18,""name"":""Drama""},{""id"":53,""name"":""Thriller""}]",Released,22.376,,7.288,2226,1998-08-20
71,"Back to the Future","Back to the Future",en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","[{""id"":12,""name"":""Adventure""},{""id"":35,""name"":""Comedy""},{""id"":878,""name"":""Science Fiction""}]",Released,78.219,,8.317,19864,1985-07-03
72,Predator,Predator,en,"A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.","[{""id"":878,""name"":""Science Fiction""},{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""},{""id"":53,""name"":""Thriller""}]",Released,83.768,,7.5,8025,1987-06-12
73,Snatch,Snatch,en,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","[{""id"":80,""name"":""Crime""},{""id"":35,""name"":""Comedy""}]",Released,27.007,,7.8,8977,2000-09-01
74,"Three Colors: Blue","Trois couleurs : Bleu",fr,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.","[{""id"":18,""name"":""Drama""}]",Released,22.105,,7.658,1667,1993-09-08
